from,to,legal_start
RW827,RX242,2006-04-01
RW834,RX248,2006-04-01
RW802,RX220,2006-04-01
RW803,RX221,2006-04-01
RW804,RX222,2006-04-01
RW805,RX223,2006-04-01
RW806,RX224,2006-04-01
RW807,RX225,2006-04-01
RW809,RX226,2006-04-01
RW810,RX227,2006-04-01
RW812,RX228,2006-04-01
RW814,RX229,2006-04-01
RW815,RX230,2006-04-01
RW816,RX231,2006-04-01
RW817,RX232,2006-04-01
RW818,RX233,2006-04-01
RW819,RX234,2006-04-01
RW820,RX235,2006-04-01
RW821,RX236,2006-04-01
RW822,RX237,2006-04-01
RW823,RX238,2006-04-01
RW824,RX239,2006-04-01
RW829,RX244,2006-04-01
RW825,RX240,2006-04-01
RTV26,A6Y9H,2021-06-01
RTV69,X4M4B,2021-06-01
RVXFQ,RX3JD,2006-04-01
RVXFR,RX3JE,2006-04-01
RVXFT,RX3JF,2006-04-01
RVXFX,RX3JG,2006-04-01
RVXGA,RX3JH,2006-04-01
RVXGF,RX3JJ,2006-04-01
RVXGG,RX3JK,2006-04-01
RVXGJ,RX3JL,2006-04-01
RVXGK,RX3JM,2006-04-01
RVXGL,RX3JN,2006-04-01
RVXGR,RX3JP,2006-04-01
RVXGW,RX3JQ,2006-04-01
RVXGX,RX3JR,2006-04-01
RVXHG,RX3JW,2006-04-01
RVXHL,RX3KC,2006-04-01
RVXKB,RX3KF,2006-04-01
RVXMB,RX3KH,2006-04-01
RVXMP,RX3KK,2006-04-01
RVXNR,RX3KL,2006-04-01
RVXOH,RX3KM,2006-04-01
RW6,RM3,2021-10-01
RW6,R0A,2021-10-01
RW8,RX2,2006-04-01
RXD,RX2,2006-04-01
RW9,RX4,2006-04-01
RW832,RX246,2006-04-01
RVXPD,RX3KP,2006-04-01
RVXPS,RX3KR,2006-04-01
RVXQW,RX3KT,2006-04-01
RVXRL,RX3MV,2006-04-01
RVXSA,RX3KV,2006-04-01
RVXSC,RX3KW,2006-04-01
RVXSH,RX3KX,2006-04-01
RVXSL,RX3KY,2006-04-01
RVXST,RX3LA,2006-04-01
RW837,RX250,2006-04-01
RW839,RX252,2006-04-01
RN333,AXG01,2016-07-01
RTVH6,B6E9H,2021-06-01
RW845,RX257,2006-04-01
RW840,RX253,2006-04-01
RVXTK,RX3LC,2006-04-01
RVXTR,RX3LD,2006-04-01
RVXTZ,RX3LE,2006-04-01
RVXWL,RX3LF,2006-04-01
RVXWS,RX3LG,2006-04-01
RVXXY,RX3LH,2006-04-01
RW9AC,RX4J9,2006-04-01
RW9AD,RX4J4,2006-04-01
RW9AH,RX447,2006-04-01
RW9BH,RX438,2006-04-01
RW9BR,RX436,2006-04-01
RW9CA,RX4K9,2006-04-01
RW9CC,RX459,2006-04-01
RW9CL,RX4J6,2006-04-01
RW9CR,RX452,2006-04-01
RW9CW,RX4L2,2006-04-01
RW9DH,RX444,2006-04-01
RW9DR,RX460,2006-04-01
RW9EL,RX4L1,2006-04-01
RW9EM,RX458,2006-04-01
RW9EW,RX461,2006-04-01
RW9EY,RX4J2,2006-04-01
RW9GK,RX4K2,2006-04-01
RW9GP,RX4K3,2006-04-01
RW9GQ,RX464,2006-04-01
RW9GS,RX4K1,2006-04-01
RW9GT,RX434,2006-04-01
RW9GU,RX456,2006-04-01
RW9GW,RX4L4,2006-04-01
RW9HA,RX462,2006-04-01
RW9HC,RX440,2006-04-01
RW9HD,RX439,2006-04-01
RW9JF,RX4J8,2006-04-01
RW9JN,RX4L3,2006-04-01
RW9LC,RX453,2006-04-01
RW9LD,RX443,2006-04-01
RW9LH,RX463,2006-04-01
RW9MP,RX451,2006-04-01
RW9NH,RX4K5,2006-04-01
RW9PH,RX449,2006-04-01
RW9QC,RX448,2006-04-01
RW9RG,RX441,2006-04-01
RW9RH,RX4J5,2006-04-01
RW9SQ,RX4K6,2006-04-01
RW9SR,RX465,2006-04-01
RW9SS,RX4J1,2006-04-01
RW9ST,RX466,2006-04-01
RW9SW,RX445,2006-04-01
RW9TH,RX454,2006-04-01
RW9TL,RX455,2006-04-01
RW9TR,RX442,2006-04-01
RW9TU,RX4K7,2006-04-01
RW9WA,RX437,2006-04-01
RW9WC,RX446,2006-04-01
RW9WK,RX4K8,2006-04-01
RLN09,R0B0W,2019-04-01
RW9WR,RX435,2006-04-01
RW9WS,RX4J3,2006-04-01
RW9WY,RX4J7,2006-04-01
8D642,DTY,2018-04-01
V169AA,313AA,2013-04-01
V211AA,323AA,2013-04-01
612,916,2020-04-01
810,738,2019-04-01
811,738,2019-04-01
V151AA,731AA,2013-04-01
V156AA,711AA,2013-04-01
RW849,RX261,2006-04-01
RQ607,REM72,2019-10-01
V133AA,702AA,2013-04-01
V136AA,723AA,2013-04-01
V138AA,704AA,2013-04-01
V140AA,724AA,2013-04-01
V145AA,706AA,2013-04-01
T1431,X2601,2013-04-01
RW828,RX243,2006-04-01
RD312,R0D02,2020-10-01
RD304,R0D01,2020-10-01
RXH27,RYR07,2021-04-01
RXH28,RYR31,2021-04-01
RXH29,C9O2H,2021-04-01
RXH59,M0I5J,2021-04-01
RTVA1,F8T3F,2021-06-01
RQ612,REMBK,2019-10-01
RQN01,RYJ02,2007-10-01
RQN02,RYJ03,2007-10-01
RQN03,RYJ04,2007-10-01
RQN51,RYJ51,2007-10-01
RQN52,RYJ52,2007-10-01
RW841,RX254,2006-04-01
RLNGT,R0B0Q,2019-04-01
RLN06,R0B02,2019-04-01
RLN07,R0B0K,2019-04-01
RXH37,RYR04,2021-04-01
RXH32,M3N0N,2021-04-01
RW826,RX241,2006-04-01
RW847,RX259,2006-04-01
RD300,R0D01,2020-10-01
RW848,RX260,2006-04-01
RC3,R1K,2014-10-01
RW830,RX245,2006-04-01
RTV68,I8H1N,2021-06-01
RM2,R0A,2017-10-01
RLN,R0B,2019-04-01
RVX,RX3,2006-04-01
RNL,RNN,2019-10-01
RXH22,C1C6K,2021-04-01
RQ620,REMBG,2019-10-01
RXH35,P4W3M,2021-04-01
RE904,R0B0E,2019-04-01
RE905,R0B0Y,2019-04-01
RE908,R0B0V,2019-04-01
RTV34,B8A6J,2021-06-01
RTV67,W9K0W,2021-06-01
RTV70,U6V1H,2021-06-01
RTV94,H8V1B,2021-06-01
RW833,RX247,2006-04-01
RV7,RWN,2010-04-01
RTV31,M0Z4I,2021-06-01
RTV46,J4O8Q,2021-06-01
RTV59,G8J4S,2021-06-01
RXH10,Q0W5X,2021-04-01
RDZ01,R0D11,2020-10-01
RTV14,Z7T1B,2021-06-01
RQ621,REM05,2019-10-01
RXH46,C0I4W,2021-04-01
RXH47,F3B1E,2021-04-01
RXH43,M4Q4V,2021-04-01
TAE,RXV,2017-01-01
RJX,RW4,2016-07-01
RDZ05,R0D03,2020-10-01
